 # webanno.custom.Entity | NC
#id=1
#text=The International Olympic Committee ( IOC ) selected Pyeongchang , South Korea as host of the 2018 Winter Games today . The committee meeting in Durban , South Africa , made its selection in the first round of voting . The South Korean city won over Munich , Germany and Annecy , France after failing in two previous tries
1-1	The	O	
1-2	International	B-NC	
1-3	Olympic	B-NC	
1-4	Committee	B-NC	
1-5	(	O	
1-6	IOC	B-NC	
1-7	)	O	
1-8	selected	O	
1-9	Pyeongchang	B-NC	
1-10	,	O	
1-11	South	B-NC	
1-12	Korea	B-NC	
1-13	as	O	
1-14	host	B-NC	
1-15	of	O	
1-16	the	O	
1-17	2018	O	
1-18	Winter	B-NC	
1-19	Games	B-NC	
1-20	today	B-NC	
1-21	.	O	
1-22	The	O	
1-23	committee	B-NC	
1-24	meeting	B-NC	
1-25	in	O	
1-26	Durban	B-NC	
1-27	,	O	
1-28	South	B-NC	
1-29	Africa	B-NC	
1-30	,	O	
1-31	made	O	
1-32	its	O	
1-33	selection	B-NC	
1-34	in	O	
1-35	the	O	
1-36	first	O	
1-37	round	B-NC	
1-38	of	O	
1-39	voting	B-NC	
1-40	.	O	
1-41	The	O	
1-42	South	O	
1-43	Korean	O	
1-44	city	B-NC	
1-45	won	O	
1-46	over	O	
1-47	Munich	B-NC	
1-48	,	O	
1-49	Germany	B-NC	
1-50	and	O	
1-51	Annecy	B-NC	
1-52	,	O	
1-53	France	B-NC	
1-54	after	O	
1-55	failing	O	
1-56	in	O	
1-57	two	O	
1-58	previous	O	
1-59	tries	B-NC	

#id=2
#text=It was an emphatic success for South Korea after its unsuccessful applications for the 2010 and 2014 Winter Olympics . This time its hour - long presentation to the committee focused on the sports with the theme " New Horizons " rather than geopolitical location and included South Korean president Lee Myung - bak and Kim Yu - na , the winner of the 2010 Olympic figure skating gold medal winner . On the first round of secret ballots , cast by the IOC 's 95 voting members from 76 countries , Pyeongchang received 63 votes to Munich 's 25 and 7 for Annecy
2-1	It	O	
2-2	was	O	
2-3	an	O	
2-4	emphatic	O	
2-5	success	B-NC	
2-6	for	O	
2-7	South	B-NC	
2-8	Korea	B-NC	
2-9	after	O	
2-10	its	O	
2-11	unsuccessful	O	
2-12	applications	B-NC	
2-13	for	O	
2-14	the	O	
2-15	2010	O	
2-16	and	O	
2-17	2014	O	
2-18	Winter	B-NC	
2-19	Olympics	B-NC	
2-20	.	O	
2-21	This	O	
2-22	time	B-NC	
2-23	its	O	
2-24	hour	B-NC	
2-25	-	O	
2-26	long	O	
2-27	presentation	B-NC	
2-28	to	O	
2-29	the	O	
2-30	committee	B-NC	
2-31	focused	O	
2-32	on	O	
2-33	the	O	
2-34	sports	B-NC	
2-35	with	O	
2-36	the	O	
2-37	theme	B-NC	
2-38	"	O	
2-39	New	B-NC	
2-40	Horizons	B-NC	
2-41	"	O	
2-42	rather	O	
2-43	than	O	
2-44	geopolitical	O	
2-45	location	B-NC	
2-46	and	O	
2-47	included	O	
2-48	South	O	
2-49	Korean	O	
2-50	president	B-NC	
2-51	Lee	B-NC	
2-52	Myung	B-NC	
2-53	-	O	
2-54	bak	B-NC	
2-55	and	O	
2-56	Kim	B-NC	
2-57	Yu	B-NC	
2-58	-	O	
2-59	na	O	
2-60	,	O	
2-61	the	O	
2-62	winner	B-NC	
2-63	of	O	
2-64	the	O	
2-65	2010	O	
2-66	Olympic	O	
2-67	figure	B-NC	
2-68	skating	O	
2-69	gold	O	
2-70	medal	B-NC	
2-71	winner	B-NC	
2-72	.	O	
2-73	On	O	
2-74	the	O	
2-75	first	O	
2-76	round	B-NC	
2-77	of	O	
2-78	secret	O	
2-79	ballots	B-NC	
2-80	,	O	
2-81	cast	O	
2-82	by	O	
2-83	the	O	
2-84	IOC	B-NC	
2-85	's	O	
2-86	95	O	
2-87	voting	B-NC	
2-88	members	B-NC	
2-89	from	O	
2-90	76	O	
2-91	countries	B-NC	
2-92	,	O	
2-93	Pyeongchang	B-NC	
2-94	received	O	
2-95	63	O	
2-96	votes	B-NC	
2-97	to	O	
2-98	Munich	B-NC	
2-99	's	O	
2-100	25	O	
2-101	and	O	
2-102	7	O	
2-103	for	O	
2-104	Annecy	B-NC	

#id=3
#text=IOC President Jacques Rogge opened the sealed envelope and made the announcement in front of the entire IOC membership and the representatives from the three candidate cities . A loud cheer erupted from the Pyeongchang detachment , as they jumped up , hugged each other , and waved South Korean flags
3-1	IOC	B-NC	
3-2	President	B-NC	
3-3	Jacques	B-NC	
3-4	Rogge	B-NC	
3-5	opened	O	
3-6	the	O	
3-7	sealed	O	
3-8	envelope	B-NC	
3-9	and	O	
3-10	made	O	
3-11	the	O	
3-12	announcement	B-NC	
3-13	in	O	
3-14	front	B-NC	
3-15	of	O	
3-16	the	O	
3-17	entire	O	
3-18	IOC	B-NC	
3-19	membership	B-NC	
3-20	and	O	
3-21	the	O	
3-22	representatives	B-NC	
3-23	from	O	
3-24	the	O	
3-25	three	O	
3-26	candidate	B-NC	
3-27	cities	B-NC	
3-28	.	O	
3-29	A	O	
3-30	loud	O	
3-31	cheer	B-NC	
3-32	erupted	O	
3-33	from	O	
3-34	the	O	
3-35	Pyeongchang	B-NC	
3-36	detachment	B-NC	
3-37	,	O	
3-38	as	O	
3-39	they	O	
3-40	jumped	O	
3-41	up	O	
3-42	,	O	
3-43	hugged	O	
3-44	each	O	
3-45	other	O	
3-46	,	O	
3-47	and	O	
3-48	waved	O	
3-49	South	O	
3-50	Korean	O	
3-51	flags	B-NC	

#id=4
#text=The host for the Winter Olympics was awarded on the first ballot in 1995 to Salt Lake City , Utah for the 2002 winter games , the last time the host was selected on the first ballot . Only twice before have the Winter Games been awarded to a country in Asia , both times to Japan
4-1	The	O	
4-2	host	B-NC	
4-3	for	O	
4-4	the	O	
4-5	Winter	B-NC	
4-6	Olympics	B-NC	
4-7	was	O	
4-8	awarded	O	
4-9	on	O	
4-10	the	O	
4-11	first	O	
4-12	ballot	B-NC	
4-13	in	O	
4-14	1995	O	
4-15	to	O	
4-16	Salt	B-NC	
4-17	Lake	B-NC	
4-18	City	B-NC	
4-19	,	O	
4-20	Utah	B-NC	
4-21	for	O	
4-22	the	O	
4-23	2002	O	
4-24	winter	B-NC	
4-25	games	B-NC	
4-26	,	O	
4-27	the	O	
4-28	last	O	
4-29	time	B-NC	
4-30	the	O	
4-31	host	B-NC	
4-32	was	O	
4-33	selected	O	
4-34	on	O	
4-35	the	O	
4-36	first	O	
4-37	ballot	B-NC	
4-38	.	O	
4-39	Only	O	
4-40	twice	O	
4-41	before	O	
4-42	have	O	
4-43	the	O	
4-44	Winter	B-NC	
4-45	Games	B-NC	
4-46	been	O	
4-47	awarded	O	
4-48	to	O	
4-49	a	O	
4-50	country	B-NC	
4-51	in	O	
4-52	Asia	B-NC	
4-53	,	O	
4-54	both	O	
4-55	times	B-NC	
4-56	to	O	
4-57	Japan	B-NC	

#id=5
#text=The 2016 Summer Games have previously been awarded to Rio de Janeiro , Brazil , which will be the first South American city to host the games . Sochi , Russia was selected in 2007 for the 2014 Winter Games , giving Russia its first hosting of the Winter Games
5-1	The	O	
5-2	2016	O	
5-3	Summer	B-NC	
5-4	Games	B-NC	
5-5	have	O	
5-6	previously	O	
5-7	been	O	
5-8	awarded	O	
5-9	to	O	
5-10	Rio	B-NC	
5-11	de	B-NC	
5-12	Janeiro	B-NC	
5-13	,	O	
5-14	Brazil	B-NC	
5-15	,	O	
5-16	which	O	
5-17	will	O	
5-18	be	O	
5-19	the	O	
5-20	first	O	
5-21	South	O	
5-22	American	O	
5-23	city	B-NC	
5-24	to	O	
5-25	host	O	
5-26	the	O	
5-27	games	B-NC	
5-28	.	O	
5-29	Sochi	B-NC	
5-30	,	O	
5-31	Russia	B-NC	
5-32	was	O	
5-33	selected	O	
5-34	in	O	
5-35	2007	O	
5-36	for	O	
5-37	the	O	
5-38	2014	O	
5-39	Winter	B-NC	
5-40	Games	B-NC	
5-41	,	O	
5-42	giving	O	
5-43	Russia	B-NC	
5-44	its	O	
5-45	first	O	
5-46	hosting	O	
5-47	of	O	
5-48	the	O	
5-49	Winter	B-NC	
5-50	Games	B-NC	

